lipid_target,15JAN2021 WA COVID-LTR_1,15JAN2021 WA COVID-LTR_10,15JAN2021 WA COVID-LTR_11,15JAN2021 WA COVID-LTR_12,15JAN2021 WA COVID-LTR_13,15JAN2021 WA COVID-LTR_14,15JAN2021 WA COVID-LTR_15,15JAN2021 WA COVID-LTR_16,15JAN2021 WA COVID-LTR_17,15JAN2021 WA COVID-LTR_18,15JAN2021 WA COVID-LTR_19,15JAN2021 WA COVID-LTR_2,15JAN2021 WA COVID-LTR_20,15JAN2021 WA COVID-LTR_21,15JAN2021 WA COVID-LTR_22,15JAN2021 WA COVID-LTR_23,15JAN2021 WA COVID-LTR_3,15JAN2021 WA COVID-LTR_4,15JAN2021 WA COVID-LTR_5,15JAN2021 WA COVID-LTR_6,15JAN2021 WA COVID-LTR_7,15JAN2021 WA COVID-LTR_8,15JAN2021 WA COVID-LTR_9
TAG(55:5_FA18:2),0.031912978,0.041892153,0.041126641,0.037267722,0.035710929,0.036661066,0.036654815,0.038492121,0.038318688,0.037111405,0.039341573,0.039340121,0.034924536,0.039123591,0.037458315,0.039694916,0.039878475,0.03842001,0.037443611,0.039971534,0.036388671,0.038463216,0.033190139
TAG(55:5_FA20:4),0.092426683,0.096741733,0.100570983,0.10055146,0.096720551,0.098806175,0.092586314,0.091884907,0.09636614,0.103970511,0.099362274,0.097777028,0.099646618,0.093589051,0.089886364,0.093836348,0.090301771,0.098741553,0.101587226,0.091647071,0.091094791,0.09752795,0.098307481
TAG(55:7_FA22:6),0.025663576,0.032668905,0.031399759,0.031945012,0.029639071,0.029833803,0.028778601,0.027470932,0.028431644,0.033622548,0.034048969,0.029665148,0.029720025,0.032012454,0.030268933,0.029793686,0.029495896,0.028236417,0.030886248,0.030668035,0.029763851,0.03161504,0.028403038
TAG(56:1_FA16:0),0.013556585,0.016266389,0.014708953,0.014197211,0.015431137,0.014596482,0.014041131,0.012169849,0.013009156,0.015364794,0.01323893,0.014655343,0.014230785,0.013557013,0.013224056,0.014209469,0.014117633,0.013223751,0.013848635,0.014302179,0.013564351,0.014182993,0.012658111
TAG(56:1_FA18:1),0.025251309,0.02894365,0.0273878,0.028533615,0.025829711,0.027595732,0.026511576,0.023667972,0.024889498,0.027019255,0.026570032,0.027731319,0.026830301,0.026106903,0.0255311,0.028233332,0.026982533,0.026040678,0.02608876,0.026988653,0.025856679,0.025678582,0.023892757
TAG(56:10_FA18:2),0.002376452,0.003531415,0.003141178,0.002864862,0.00309541,0.003169519,0.002974508,0.002838012,0.003100237,0.003503933,0.00332938,0.002451717,0.003300629,0.003219689,0.003347666,0.003286737,0.002853634,0.002305033,0.002695963,0.002518008,0.002744678,0.003153063,0.002663583
TAG(56:2_FA16:0),0.104714029,0.118702027,0.117363837,0.114458034,0.11279322,0.111889971,0.109431353,0.097321565,0.101444726,0.113756515,0.11034063,0.109728929,0.110256427,0.107309063,0.098370346,0.113342871,0.113848152,0.105486586,0.104248305,0.105076906,0.105744077,0.109915508,0.099501273
TAG(56:2_FA18:0),0.079263397,0.087116377,0.085247284,0.082928708,0.083529651,0.084597075,0.08513291,0.074225568,0.075941265,0.085116871,0.082354171,0.08109231,0.083035573,0.079407472,0.079433428,0.080619915,0.077882652,0.078118183,0.082048203,0.081820225,0.07691145,0.081780866,0.073058803
TAG(56:2_FA20:0),0.171166217,0.189720762,0.189377816,0.187055598,0.172378754,0.183398316,0.172309056,0.158759532,0.165912937,0.198599639,0.191539961,0.173396734,0.175589162,0.18460621,0.161656233,0.176275757,0.18996609,0.180596261,0.171325546,0.177694638,0.185252711,0.173737424,0.177194204
TAG(56:2_FA20:1),0.109407546,0.122371393,0.119769688,0.12586895,0.115154062,0.114176514,0.112753131,0.099087349,0.102482013,0.124991846,0.118874793,0.109426618,0.115952778,0.118211945,0.101823575,0.108707174,0.112526998,0.114374473,0.107802499,0.113994037,0.116761302,0.103430846,0.112980151
TAG(56:3_FA16:0),0.042712506,0.052686378,0.04909801,0.049590299,0.049857235,0.047370665,0.046834753,0.044253584,0.044178,0.052834286,0.048803792,0.04596861,0.047637492,0.04485962,0.046318145,0.0475789,0.044836498,0.043046491,0.045068707,0.043230655,0.046347244,0.047231699,0.043336614
TAG(56:3_FA18:0),0.061843174,0.075740392,0.070800359,0.068486855,0.0689805,0.066609305,0.067368377,0.064176679,0.06222073,0.073184231,0.071407412,0.063907442,0.065780064,0.066779055,0.06494995,0.071584174,0.066477924,0.062331252,0.067165749,0.062869952,0.063869713,0.066943833,0.063729841
TAG(56:3_FA18:1),0.243252819,0.291188573,0.263973922,0.278935433,0.262468902,0.269677093,0.26658676,0.237374096,0.243547163,0.273357377,0.285374287,0.256985156,0.276790629,0.280031027,0.274027139,0.294495917,0.26192255,0.255591416,0.263005716,0.256262445,0.252155717,0.272318598,0.241739659
TAG(56:3_FA18:2),0.139750569,0.169077441,0.157533405,0.154557077,0.164260427,0.164307667,0.154113046,0.15560516,0.152937074,0.171243618,0.168607237,0.144445717,0.151245361,0.161808292,0.162638007,0.18326783,0.161834047,0.151116176,0.155015398,0.155184387,0.152225618,0.165393071,0.147841286
TAG(56:3_FA20:0),0.311995442,0.352376158,0.337908624,0.337022079,0.31130323,0.321478847,0.332310252,0.297880747,0.3082718,0.349788836,0.349999292,0.318539183,0.320358036,0.340477684,0.297486072,0.341737163,0.308515009,0.322903526,0.287938786,0.310016915,0.314339306,0.310581867,0.313806791
TAG(56:3_FA20:1),0.848820698,0.992386218,0.977917017,0.987162801,0.9151545,0.917494315,0.910078644,0.818071267,0.843187713,1.017594864,0.961961926,0.831866587,0.928505543,0.970652965,0.889780326,0.927062391,0.902137714,0.855782815,0.844983022,0.870181465,0.908415638,0.848671629,0.869371805
TAG(56:3_FA20:2),0.14985965,0.185599114,0.182708524,0.18436043,0.175301843,0.176919374,0.174526864,0.147926576,0.154224831,0.192564076,0.188995996,0.15313767,0.182708151,0.181502699,0.171753965,0.177815461,0.168650197,0.162739396,0.164260393,0.16682015,0.175331558,0.166430348,0.16846993
TAG(56:4_FA16:0),0.03926707,0.049545247,0.044414899,0.045695469,0.044213539,0.045246803,0.04437591,0.041275079,0.042739626,0.048412969,0.045276355,0.046521452,0.044820296,0.045794104,0.043934335,0.043704056,0.0436993,0.040626472,0.045380024,0.04243772,0.045717829,0.044412316,0.041598137
TAG(56:4_FA18:0),0.064729342,0.07844033,0.066638705,0.067240648,0.068830046,0.070215644,0.070264544,0.061041232,0.069469633,0.0741031,0.065462159,0.066395493,0.061866242,0.064417615,0.07102285,0.062452713,0.066595196,0.065739909,0.072726725,0.067344832,0.068909226,0.069325035,0.057519658
TAG(56:4_FA18:1),0.201154498,0.238369909,0.211557498,0.220035431,0.212627718,0.229881888,0.218906721,0.189463342,0.209869507,0.226864071,0.228826426,0.222501413,0.218528371,0.214770751,0.203719799,0.212286496,0.212583079,0.207282141,0.217231317,0.209608104,0.205880094,0.219492574,0.191674053
TAG(56:4_FA18:2),0.193550132,0.248878134,0.241278408,0.222637131,0.244582896,0.235938114,0.209607229,0.215984065,0.231205222,0.22726218,0.244004383,0.22932706,0.228944173,0.232140816,0.236824642,0.234241517,0.257538943,0.227771502,0.232583037,0.223992735,0.215320752,0.231759196,0.217381668
