lipid,p value,95% CI lower,95% CI upper,effect size,SARS-CoV-2 (-) median concentration,SARS-CoV-2 (+) median concentration,median concentration difference,BH q value
PI(18:0_16:1),0.86,-0.9,0.65,0.034,0.97,1.2,0.23,0.9546891191709844
TAG(50:3_FA16:1),0.86,-0.79,0.71,0.034,1.9,2,0.1,0.9546891191709844
TAG(51:2_FA16:0),0.86,-0.77,1.2,0.034,1.3,1.3,0,0.9546891191709844
TAG(52:1_FA16:0),0.86,-1.1,1.3,0.034,2.8,2.8,0,0.9546891191709844
TAG(52:3_FA18:0),0.86,-0.056,0.11,0.034,0.14,0.15,0.01,0.9546891191709844
TAG(52:4_FA16:1),0.86,-0.55,0.4,0.034,1.6,1.6,0,0.9546891191709844
TAG(53:1_FA18:1),0.86,-0.093,0.11,0.034,0.18,0.15,-0.03,0.9546891191709844
TAG(54:2_FA18:1),0.86,-0.63,0.46,0.034,2,2,0,0.9546891191709844
TAG(54:4_FA18:1),0.86,-0.87,0.85,0.034,3.3,3.1,-0.2,0.9546891191709844
TAG(54:5_FA22:5),0.86,-0.14,0.19,0.034,0.22,0.27,0.05,0.9546891191709844
TAG(55:3_FA18:1),0.86,-0.076,0.067,0.034,0.13,0.14,0.01,0.9546891191709844
TAG(56:2_FA20:1),0.86,-0.047,0.054,0.034,0.15,0.15,0,0.9546891191709844
TAG(56:8_FA16:0),0.86,-0.23,0.16,0.034,0.21,0.27,0.06,0.9546891191709844
TAG(56:9_FA22:6),0.86,-0.27,0.24,0.034,0.29,0.29,0,0.9546891191709844
TAG(58:6_FA22:5),0.86,-0.033,0.03,0.034,0.091,0.089,-0.002,0.9546891191709844
DAG(16:1_18:0),0.89,-0.14,0.23,0.027,0.28,0.26,-0.02,0.961828499369483
DAG(18:1_20:1),0.89,-0.44,0.58,0.027,1.2,1.1,-0.1,0.961828499369483
FFA(20:3),0.89,-0.24,0.22,0.027,0.66,0.69,0.03,0.961828499369483
LCER(22:1),0.89,-0.0023,0.0019,0.027,0.0058,0.0055,-3e-4,0.961828499369483
LPC(22:6),0.89,-0.0075,0.0056,0.027,0.024,0.025,0.001,0.961828499369483
LPE(20:4),0.89,-0.31,0.26,0.027,0.82,0.89,0.07,0.961828499369483
PE(16:0_20:1),0.89,-0.086,0.097,0.027,0.16,0.18,0.02,0.961828499369483
TAG(50:2_FA16:1),0.89,-0.93,0.85,0.027,2.2,2.3,0.1,0.961828499369483
TAG(50:2_FA18:1),0.89,-0.98,0.84,0.027,2.9,2.8,-0.1,0.961828499369483
TAG(52:3_FA16:0),0.89,-1.5,1.5,0.027,5.5,5.1,-0.4,0.961828499369483
TAG(52:3_FA20:0),0.89,-0.063,0.076,0.027,0.19,0.17,-0.02,0.961828499369483
TAG(53:2_FA16:0),0.89,-0.2,0.3,0.027,0.32,0.33,0.01,0.961828499369483
TAG(53:2_FA17:0),0.89,-0.38,0.43,0.027,0.88,0.72,-0.16,0.961828499369483
TAG(54:3_FA18:1),0.89,-1.2,0.97,0.027,4.3,4.1,-0.2,0.961828499369483
TAG(54:5_FA16:1),0.89,-0.053,0.033,0.027,0.071,0.086,0.015,0.961828499369483
TAG(54:6_FA20:3),0.89,-0.12,0.14,0.027,0.29,0.3,0.01,0.961828499369483
TAG(56:8_FA22:5),0.89,-0.11,0.093,0.027,0.15,0.18,0.03,0.961828499369483
TAG(58:10_FA18:2),0.89,-0.035,0.029,0.027,0.038,0.042,0.004,0.961828499369483
TAG(58:10_FA20:4),0.89,-0.091,0.059,0.027,0.14,0.11,-0.03,0.961828499369483
TAG(58:6_FA16:0),0.89,-0.023,0.044,0.027,0.025,0.035,0.01,0.961828499369483
TAG(58:7_FA18:2),0.89,-0.024,0.024,0.027,0.033,0.047,0.014,0.961828499369483
DAG(16:0_20:3),0.92,-1.1,0.91,0.02,1.7,1.7,0,0.9806467661691544
DAG(16:1_18:3),0.92,-0.39,0.32,0.02,0.45,0.44,-0.01,0.9806467661691544
LPC(22:4),0.92,-0.007,0.0098,0.02,0.025,0.025,0,0.9806467661691544
PS(18:0_18:1),0.92,-6.5,4.6,0.02,10,11,1,0.9806467661691544
TAG(48:1_FA16:1),0.92,-0.18,0.32,0.02,0.34,0.27,-0.07,0.9806467661691544
TAG(50:1_FA16:1),0.92,-0.062,0.13,0.02,0.13,0.095,-0.035,0.9806467661691544
TAG(52:2_FA16:0),0.92,-1.6,1.8,0.02,6.6,6.1,-0.5,0.9806467661691544
TAG(52:4_FA18:1),0.92,-1.1,0.88,0.02,2.5,2.4,-0.1,0.9806467661691544
TAG(56:4_FA16:0),0.92,-0.031,0.032,0.02,0.044,0.044,0,0.9806467661691544
TAG(58:3_FA18:1),0.92,-0.031,0.044,0.02,0.058,0.06,0.002,0.9806467661691544
TAG(58:7_FA22:6),0.92,-0.24,0.21,0.02,0.36,0.38,0.02,0.9806467661691544
CE(22:4),0.95,-0.0059,0.0068,0.014,0.024,0.023,-0.001,0.9856537530266344
DAG(16:0_16:0),0.95,-2.4,3.4,0.014,5.6,4.4,-1.2,0.9856537530266344
DAG(16:1_20:2),0.95,-0.19,0.19,0.014,0.42,0.42,0,0.9856537530266344
PE(16:0_22:4),0.95,-0.15,0.2,0.014,0.26,0.27,0.01,0.9856537530266344
PE(16:0_22:6),0.95,-1.2,0.91,0.014,2.1,2.2,0.1,0.9856537530266344
TAG(47:1_FA16:1),0.95,-0.022,0.04,0.014,0.028,0.028,0,0.9856537530266344
TAG(49:2_FA16:1),0.95,-0.18,0.25,0.014,0.23,0.25,0.02,0.9856537530266344
TAG(50:3_FA16:0),0.95,-1.4,1.8,0.014,2.9,2.7,-0.2,0.9856537530266344
TAG(50:4_FA16:1),0.95,-0.23,0.24,0.014,0.36,0.36,0,0.9856537530266344
TAG(51:2_FA18:1),0.95,-0.99,1,0.014,1.6,1.5,-0.1,0.9856537530266344
TAG(52:1_FA18:1),0.95,-0.69,0.72,0.014,1.6,1.7,0.1,0.9856537530266344
TAG(53:2_FA18:1),0.95,-0.95,0.88,0.014,1.7,1.5,-0.2,0.9856537530266344
TAG(53:6_FA20:4),0.95,-0.04,0.037,0.014,0.078,0.072,-0.006,0.9856537530266344
TAG(54:1_FA18:0),0.95,-0.29,0.38,0.014,0.6,0.64,0.04,0.9856537530266344
TAG(54:7_FA22:6),0.95,-0.6,0.57,0.014,0.85,0.83,-0.02,0.9856537530266344
TAG(56:2_FA18:0),0.95,-0.034,0.051,0.014,0.077,0.078,0.001,0.9856537530266344
TAG(56:3_FA20:1),0.95,-0.38,0.36,0.014,1.1,1.2,0.1,0.9856537530266344
TAG(56:3_FA20:2),0.95,-0.05,0.071,0.014,0.15,0.15,0,0.9856537530266344
TAG(56:6_FA16:0),0.95,-0.31,0.35,0.014,0.55,0.57,0.02,0.9856537530266344
TAG(56:7_FA22:5),0.95,-0.61,0.33,0.014,0.76,1.1,0.34,0.9856537530266344
TAG(58:9_FA18:2),0.95,-0.08,0.047,0.014,0.073,0.097,0.024,0.9856537530266344
TAG(60:12_FA22:6),0.95,-0.082,0.11,0.014,0.12,0.099,-0.021,0.9856537530266344
CE(20:4),0.98,-2.4,2.4,0.0068,11,10,-1,0.9915702479338843
DAG(18:0_18:1),0.98,-1.7,1.9,0.0068,3.2,3.3,0.1,0.9915702479338843
DCER(20:1),0.98,-0.02,0.019,0.0068,0.038,0.035,-0.003,0.9915702479338843
PC(16:0_22:6),0.98,-3.9,4.2,0.0068,13,13,0,0.9915702479338843
PE(18:0_16:0),0.98,-0.0063,0.0068,0.0068,0.021,0.022,0.001,0.9915702479338843
PE(O-18:0_18:1),0.98,-0.013,0.014,0.0068,0.043,0.051,0.008,0.9915702479338843
TAG(48:2_FA16:1),0.98,-0.39,0.67,0.0068,0.82,0.58,-0.24,0.9915702479338843
TAG(49:3_FA16:1),0.98,-0.034,0.043,0.0068,0.06,0.058,-0.002,0.9915702479338843
TAG(50:1_FA16:0),0.98,-2,2.2,0.0068,6.1,5.6,-0.5,0.9915702479338843
TAG(50:1_FA18:1),0.98,-1.3,1.3,0.0068,3.2,3,-0.2,0.9915702479338843
TAG(50:2_FA16:0),0.98,-2.1,2.1,0.0068,5.6,5.2,-0.4,0.9915702479338843
TAG(51:2_FA16:1),0.98,-0.08,0.11,0.0068,0.14,0.14,0,0.9915702479338843
TAG(52:1_FA16:1),0.98,-0.012,0.02,0.0068,0.02,0.02,0,0.9915702479338843
TAG(52:2_FA18:1),0.98,-1,0.87,0.0068,3.8,3.7,-0.1,0.9915702479338843
TAG(52:3_FA18:1),0.98,-1,0.94,0.0068,3.9,3.7,-0.2,0.9915702479338843
TAG(54:1_FA18:1),0.98,-0.32,0.26,0.0068,0.58,0.55,-0.03,0.9915702479338843
