lipid,p value,95% CI lower,95% CI upper,effect size,SARS-CoV-2 (-) median concentration,SARS-CoV-2 (+) median concentration,median concentration difference,BH q value
HCER(d18:0_20:0),0.012,1.5e-4,0.0022,0.43,0.0048,0.0033,-0.0015,0.10284
HCER(d18:0_26:0),0.012,6.9e-5,4.9e-4,0.43,6e-4,2.9e-4,-3.1e-4,0.10284
PC(16:0_18:0),0.012,0.018,0.14,0.43,0.27,0.19,-0.08,0.10284
PE(18:1_18:2),0.012,0.73,5.4,0.43,6.1,2.6,-3.5,0.10284
PE(P-16:0_18:0),0.012,0.0029,0.02,0.43,0.027,0.016,-0.011,0.10284
DCER(26:0),0.016,0.0064,0.046,0.42,0.061,0.033,-0.028,0.12028070175438596
FFA(16:1),0.014,-12,-1.6,0.42,8.7,18,9.3,0.10809009009009009
LCER(26:0),0.014,1e-4,0.0014,0.42,0.0024,0.0013,-0.0011,0.10809009009009009
LCER(d18:0_24:0),0.016,7.9e-4,0.0048,0.42,0.0087,0.0053,-0.0034,0.12028070175438596
LPC(18:3),0.014,0.016,0.15,0.42,0.22,0.16,-0.06,0.10809009009009009
LPI(20:3),0.014,4.5e-4,0.0034,0.42,0.0054,0.0033,-0.0021,0.10809009009009009
PC(14:0_22:5),0.014,0.0045,0.027,0.42,0.03,0.011,-0.019,0.10809009009009009
PC(16:0_18:2),0.014,1.9,17,0.42,36,26,-10,0.10809009009009009
PC(16:0_20:2),0.016,0.1,0.85,0.42,1.5,0.87,-0.63,0.12028070175438596
PC(18:1_20:1),0.014,0.028,0.21,0.42,0.36,0.24,-0.12,0.10809009009009009
PC(18:2_22:6),0.014,0.02,0.18,0.42,0.19,0.11,-0.08,0.10809009009009009
PE(O-16:0_20:4),0.014,0.14,2.3,0.42,2.5,1.1,-1.4,0.10809009009009009
PE(P-18:2_20:4),0.014,0.13,1.1,0.42,1,0.64,-0.36,0.10809009009009009
SM(26:0),0.014,0.0036,0.04,0.42,0.063,0.042,-0.021,0.10809009009009009
CE(20:1),0.018,0.0018,0.011,0.41,0.016,0.011,-0.005,0.13184615384615384
PC(14:0_20:3),0.018,0.0056,0.094,0.41,0.079,0.02,-0.059,0.13184615384615384
PE(P-18:0_18:0),0.018,0.0029,0.046,0.41,0.089,0.062,-0.027,0.13184615384615384
CE(18:3),0.02,0.32,1.8,0.4,2.7,1.3,-1.4,0.1382258064516129
CER(20:1),0.02,-0.0062,-6e-4,0.4,0.0071,0.011,0.0039,0.1382258064516129
DCER(26:1),0.022,0.011,0.11,0.4,0.15,0.075,-0.075,0.1461550387596899
HCER(20:0),0.022,0.0073,0.098,0.4,0.21,0.16,-0.05,0.1461550387596899
LCER(22:0),0.02,0.0029,0.033,0.4,0.069,0.048,-0.021,0.1382258064516129
LPC(22:5),0.022,0.0013,0.02,0.4,0.047,0.034,-0.013,0.1461550387596899
PC(16:0_14:0),0.02,0.048,0.51,0.4,0.67,0.3,-0.37,0.1382258064516129
PC(18:0_18:0),0.022,0.029,0.44,0.4,0.71,0.42,-0.29,0.1461550387596899
PC(18:1_18:3),0.02,0.055,0.55,0.4,0.77,0.46,-0.31,0.1382258064516129
PC(18:1_20:3),0.022,0.14,3.1,0.4,4.4,2.7,-1.7,0.1461550387596899
PE(18:2_18:2),0.02,0.19,1.7,0.4,1.5,0.59,-0.91,0.1382258064516129
PG(18:2_18:2),0.02,0.001,0.012,0.4,0.025,0.021,-0.004,0.1382258064516129
DAG(20:0_20:0),0.025,0.015,0.19,0.39,0.34,0.23,-0.11,0.15988805970149256
FFA(22:4),0.025,-0.52,-0.038,0.39,0.46,0.78,0.32,0.15988805970149256
HCER(d18:0_18:0),0.025,8.8e-5,0.0011,0.39,0.002,0.0013,-7e-4,0.15988805970149256
LCER(d18:0_22:0),0.025,2e-4,0.0027,0.39,0.0051,0.0033,-0.0018,0.15988805970149256
PI(18:2_16:1),0.025,0.0016,0.024,0.39,0.036,0.02,-0.016,0.15988805970149256
CE(18:2),0.028,0.43,4.8,0.38,9.6,6.2,-3.4,0.17263309352517986
FFA(16:2),0.028,-0.089,-0.0096,0.38,0.21,0.25,0.04,0.17263309352517986
PC(18:0_20:0),0.028,0.0062,0.057,0.38,0.069,0.031,-0.038,0.17263309352517986
PI(14:0_18:1),0.031,9.7e-4,0.063,0.38,0.059,0.033,-0.026,0.18709154929577465
SM(22:1),0.031,0.04,0.94,0.38,2.8,2.4,-0.4,0.18709154929577465
TAG(46:2_FA18:2),0.031,0.005,0.38,0.38,0.27,0.098,-0.17,0.18709154929577465
TAG(56:2_FA20:0),0.028,0.032,0.38,0.38,0.43,0.23,-0.2,0.17263309352517986
TAG(58:7_FA22:5),0.028,-0.15,-0.015,0.38,0.17,0.22,0.05,0.17263309352517986
CE(20:2),0.034,0.002,0.037,0.37,0.057,0.037,-0.02,0.20095172413793105
LPE(18:3),0.034,0.0051,0.097,0.37,0.12,0.059,-0.061,0.20095172413793105
PC(18:0_18:1),0.034,0.52,8.4,0.37,13,7.7,-5.3,0.20095172413793105
PE(P-16:1_18:1),0.038,1.3e-4,0.008,0.36,0.011,0.0061,-0.0049,0.21856375838926173
PG(16:0_18:2),0.038,5.5e-4,0.0082,0.36,0.01,0.0066,-0.0034,0.21856375838926173
PI(16:0_18:1),0.038,0.048,4.9,0.36,6.3,3.5,-2.8,0.21856375838926173
PI(18:0_18:3),0.038,0.0033,0.18,0.36,0.21,0.11,-0.1,0.21856375838926173
DAG(18:2_22:4),0.047,-0.054,-7.6e-4,0.35,0.064,0.097,0.033,0.2486358024691358
LPC(20:3),0.047,0.0021,0.44,0.35,0.71,0.49,-0.22,0.2486358024691358
LPE(14:0),0.047,7.4e-6,0.0012,0.35,0.0018,0.0011,-7e-4,0.2486358024691358
LPE(18:1),0.042,0.054,2.4,0.35,3.5,2.4,-1.1,0.23372727272727273
PC(14:0_20:4),0.042,0.0059,0.21,0.35,0.23,0.079,-0.15,0.23372727272727273
PC(18:0_18:3),0.047,7e-4,0.42,0.35,0.66,0.42,-0.24,0.2486358024691358
PC(18:1_18:1),0.042,0.022,1.5,0.35,2.7,2.3,-0.4,0.23372727272727273
PC(18:2_20:4),0.047,0.0012,0.46,0.35,0.56,0.21,-0.35,0.2486358024691358
PE(O-18:0_18:0),0.047,9.8e-7,0.0084,0.35,0.012,0.009,-0.003,0.2486358024691358
PE(O-18:0_18:2),0.047,0.0044,0.77,0.35,0.94,0.33,-0.61,0.2486358024691358
PE(P-18:1_20:4),0.047,0.56,18,0.35,20,12,-8,0.2486358024691358
PI(16:0_18:2),0.042,0.14,3.3,0.35,5.1,3.7,-1.4,0.23372727272727273
PI(18:0_22:4),0.042,0.0017,0.26,0.35,0.34,0.25,-0.09,0.23372727272727273
CE(18:0),0.051,-0.014,0.72,0.34,0.94,0.43,-0.51,0.2617185628742515
DAG(14:0_18:2),0.051,-0.0036,0.48,0.34,0.58,0.22,-0.36,0.2617185628742515
PC(16:1_18:2),0.051,-0.0013,0.56,0.34,0.79,0.42,-0.37,0.2617185628742515
PG(18:0_18:1),0.051,-2.7e-4,0.035,0.34,0.036,0.023,-0.013,0.2617185628742515
PG(18:2_20:4),0.055,6.3e-6,7.5e-4,0.34,0.0012,7.4e-4,-4.6e-4,0.28056547619047617
TAG(54:1_FA20:0),0.051,-0.005,0.68,0.34,0.71,0.34,-0.37,0.2617185628742515
CER(14:0),0.062,-5.2e-5,0.0046,0.33,0.01,0.0071,-0.0029,0.3001920903954802
PC(18:1_20:4),0.062,-0.43,0.01,0.33,0.53,0.73,0.2,0.3001920903954802
PC(20:0_20:4),0.056,-4.2e-4,0.05,0.33,0.1,0.072,-0.028,0.2823058823529412
TAG(44:2_FA18:2),0.062,-0.0029,0.1,0.33,0.069,0.025,-0.044,0.3001920903954802
TAG(46:3_FA18:2),0.062,-0.003,0.12,0.33,0.1,0.043,-0.057,0.3001920903954802
TAG(48:2_FA18:0),0.062,-2e-4,0.018,0.33,0.017,0.0077,-0.0093,0.3001920903954802
TAG(48:4_FA18:2),0.062,-0.0052,0.2,0.33,0.2,0.052,-0.15,0.3001920903954802
TAG(48:5_FA18:2),0.056,-4.9e-4,0.028,0.33,0.017,0.0055,-0.012,0.2823058823529412
TAG(52:0_FA20:0),0.062,-0.01,0.22,0.33,0.2,0.088,-0.11,0.3001920903954802
CE(18:1),0.068,-0.61,9.4,0.32,22,15,-7,0.31500540540540545
PC(14:0_22:6),0.068,-0.0012,0.031,0.32,0.035,0.016,-0.019,0.31500540540540545
PC(16:0_20:3),0.068,-1.7,16,0.32,25,16,-9,0.31500540540540545
PC(18:0_20:3),0.068,-0.11,10,0.32,16,9.2,-6.8,0.31500540540540545
PE(18:0_18:2),0.068,-0.68,9.4,0.32,14,6.2,-7.8,0.31500540540540545
PI(18:1_20:4),0.068,-0.086,0.89,0.32,1.4,0.95,-0.45,0.31500540540540545
TAG(48:3_FA18:2),0.068,-0.058,0.99,0.32,0.93,0.38,-0.55,0.31500540540540545
TAG(56:3_FA20:0),0.068,-0.0087,0.17,0.32,0.13,0.072,-0.058,0.31500540540540545
DAG(18:1_20:4),0.081,-4.4,0.28,0.31,4.7,6.9,2.2,0.35059090909090906
LPE(20:3),0.074,-0.0088,0.22,0.31,0.32,0.24,-0.08,0.32689690721649484
PC(18:1_20:5),0.081,-0.063,1.3,0.31,1.8,0.94,-0.86,0.35059090909090906
PE(18:0_18:3),0.074,-0.054,1,0.31,0.95,0.62,-0.33,0.32689690721649484
PE(O-16:0_22:6),0.074,-0.015,0.51,0.31,0.8,0.55,-0.25,0.32689690721649484
PS(20:0_18:2),0.074,-2.7,58,0.31,98,59,-39,0.32689690721649484
TAG(44:1_FA18:1),0.081,-0.011,0.17,0.31,0.095,0.047,-0.048,0.35059090909090906
TAG(46:3_FA18:3),0.081,-0.0071,0.13,0.31,0.13,0.035,-0.095,0.35059090909090906
TAG(48:2_FA18:2),0.074,-0.031,1.4,0.31,1.2,0.47,-0.73,0.32689690721649484
TAG(48:5_FA18:3),0.074,-0.0026,0.09,0.31,0.063,0.018,-0.045,0.32689690721649484
TAG(56:5_FA20:4),0.074,-1.2,0.061,0.31,1.4,2,0.6,0.32689690721649484
TAG(56:6_FA20:4),0.074,-1.6,0.09,0.31,2,2.8,0.8,0.32689690721649484
TAG(58:8_FA22:5),0.074,-0.089,0.0073,0.31,0.11,0.16,0.05,0.32689690721649484
HCER(18:1),0.089,-0.0039,3.7e-4,0.3,0.0037,0.0055,0.0018,0.3646808510638298
PC(16:0_18:3),0.089,-0.24,2.1,0.3,4,2.8,-1.2,0.3646808510638298
PC(18:2_16:1),0.089,-0.14,1.6,0.3,2.5,1.4,-1.1,0.3646808510638298
PE(18:0_20:3),0.089,-0.77,6.3,0.3,8.7,5.2,-3.5,0.3646808510638298
PE(P-16:0_22:6),0.089,-0.34,4.3,0.3,6.8,4.7,-2.1,0.3646808510638298
PG(18:0_18:2),0.089,-0.0033,0.033,0.3,0.043,0.023,-0.02,0.3646808510638298
PI(18:0_20:5),0.089,-0.011,0.12,0.3,0.14,0.094,-0.046,0.3646808510638298
PS(20:0_20:2),0.089,-0.045,0.4,0.3,0.65,0.49,-0.16,0.3646808510638298
TAG(46:0_FA18:0),0.089,-0.0033,0.026,0.3,0.021,0.01,-0.011,0.3646808510638298
CE(22:2),0.1,-3.7e-5,4.2e-4,0.29,7.9e-4,5.6e-4,-2.3e-4,0.3646808510638298
CER(22:1),0.1,-0.043,0.0038,0.29,0.063,0.073,0.01,0.3646808510638298
DAG(18:2_20:4),0.096,-1.1,0.18,0.29,1.6,2.2,0.6,0.3646808510638298
DAG(18:2_22:5),0.096,-0.21,0.019,0.29,0.23,0.28,0.05,0.3646808510638298
LPC(16:0),0.1,-0.53,6.3,0.29,14,9.5,-4.5,0.3646808510638298
PC(14:0_22:4),0.096,-5.1e-4,0.004,0.29,0.0045,0.002,-0.0025,0.3646808510638298
PC(16:0_20:5),0.1,-1.2,6.4,0.29,9.6,5.8,-3.8,0.3646808510638298
PE(16:0_18:2),0.096,-0.62,5.8,0.29,7.3,4.9,-2.4,0.3646808510638298
PE(16:0_18:3),0.1,-0.024,0.4,0.29,0.44,0.24,-0.2,0.3646808510638298
PE(18:1_18:1),0.096,-0.026,0.47,0.29,0.62,0.45,-0.17,0.3646808510638298
PE(18:1_20:3),0.1,-0.11,1.7,0.29,2.1,0.96,-1.1,0.3646808510638298
PE(P-18:1_16:1),0.096,-9.8e-4,0.015,0.29,0.02,0.013,-0.007,0.3646808510638298
PI(18:0_18:2),0.096,-3.4,48,0.29,63,42,-21,0.3646808510638298
PS(20:0_20:5),0.096,-0.22,1.9,0.29,2.3,0.97,-1.3,0.3646808510638298
TAG(42:2_FA18:2),0.1,-0.0029,0.027,0.29,0.022,0.0073,-0.015,0.3646808510638298
TAG(44:0_FA16:0),0.096,-0.03,0.53,0.29,0.25,0.16,-0.09,0.3646808510638298
TAG(44:2_FA14:0),0.1,-0.0039,0.05,0.29,0.032,0.017,-0.015,0.3646808510638298
TAG(46:1_FA18:1),0.1,-0.035,0.55,0.29,0.52,0.19,-0.33,0.3646808510638298
TAG(46:4_FA18:2),0.1,-0.0021,0.029,0.29,0.017,0.0091,-0.0079,0.3646808510638298
TAG(48:1_FA18:0),0.1,-0.0042,0.059,0.29,0.049,0.023,-0.026,0.3646808510638298
TAG(50:1_FA20:1),0.1,-0.0036,0.1,0.29,0.068,0.037,-0.031,0.3646808510638298
TAG(50:5_FA20:5),0.096,-0.0028,0.09,0.29,0.057,0.025,-0.032,0.3646808510638298
TAG(52:7_FA18:1),0.1,-3.5e-4,0.0051,0.29,0.006,0.0029,-0.0031,0.3646808510638298
TAG(52:8_FA18:2),0.096,-2.9e-4,0.0033,0.29,0.0031,0.0014,-0.0017,0.3646808510638298
TAG(54:7_FA18:2),0.1,-0.036,0.44,0.29,0.48,0.2,-0.28,0.3646808510638298
TAG(56:3_FA18:2),0.1,-0.014,0.086,0.29,0.08,0.053,-0.027,0.3646808510638298
TAG(58:6_FA22:4),0.1,-0.1,0.0094,0.29,0.12,0.15,0.03,0.3646808510638298
TAG(58:8_FA20:4),0.1,-0.15,0.0075,0.29,0.099,0.17,0.071,0.3646808510638298
FFA(20:1),0.11,-1.1,0.083,0.28,1.4,1.6,0.2,0.3847755102040817
LPG(16:0),0.11,-4.9e-5,7.7e-4,0.28,0.0015,0.0012,-3e-4,0.3847755102040817
PE(P-18:0_22:4),0.11,-1.2,20,0.28,27,21,-6,0.3847755102040817
PG(18:2_16:1),0.11,-0.0024,0.028,0.28,0.11,0.091,-0.019,0.3847755102040817
PI(18:0_22:5),0.11,-0.18,3.3,0.28,3.4,2.5,-0.9,0.3847755102040817
TAG(42:0_FA16:0),0.11,-0.012,0.22,0.28,0.1,0.052,-0.048,0.3847755102040817
TAG(44:3_FA18:2),0.11,-0.0029,0.024,0.28,0.016,0.0078,-0.0082,0.3847755102040817
TAG(46:1_FA18:0),0.11,-0.0032,0.019,0.28,0.01,0.0069,-0.0031,0.3847755102040817
TAG(48:3_FA18:3),0.11,-0.03,0.66,0.28,0.49,0.17,-0.32,0.3847755102040817
TAG(58:7_FA22:4),0.11,-0.043,0.0045,0.28,0.057,0.073,0.016,0.3847755102040817
CE(20:5),0.13,-0.28,1.3,0.27,2.8,2.2,-0.6,0.42041509433962265
LPE(20:1),0.13,-0.0072,0.047,0.27,0.083,0.067,-0.016,0.42041509433962265
PE(P-18:1_22:6),0.12,-0.22,2.6,0.27,3.5,2.7,-0.8,0.4097211155378486
PI(16:0_20:4),0.13,-0.27,1.7,0.27,3.2,2.2,-1,0.42041509433962265
PI(18:0_20:0),0.13,-2.2,0.4,0.27,4,5.1,1.1,0.42041509433962265
PS(20:0_18:3),0.12,-0.34,2.4,0.27,3.3,2,-1.3,0.4097211155378486
TAG(42:0_FA14:0),0.13,-0.031,0.13,0.27,0.076,0.056,-0.02,0.42041509433962265
TAG(44:1_FA16:0),0.13,-0.027,0.41,0.27,0.14,0.087,-0.053,0.42041509433962265
TAG(46:2_FA16:0),0.12,-0.022,0.37,0.27,0.22,0.14,-0.08,0.4097211155378486
TAG(48:0_FA18:0),0.13,-0.0048,0.1,0.27,0.06,0.037,-0.023,0.42041509433962265
TAG(48:4_FA18:3),0.13,-0.039,0.42,0.27,0.43,0.13,-0.3,0.42041509433962265
TAG(50:3_FA18:0),0.12,-0.0022,0.019,0.27,0.022,0.013,-0.009,0.4097211155378486
TAG(50:4_FA14:0),0.13,-0.11,0.55,0.27,0.55,0.21,-0.34,0.42041509433962265
TAG(50:5_FA14:0),0.12,-0.0085,0.097,0.27,0.095,0.028,-0.067,0.4097211155378486
TAG(50:5_FA18:2),0.12,-0.015,0.14,0.27,0.13,0.044,-0.086,0.4097211155378486
TAG(51:5_FA18:2),0.13,-0.0066,0.039,0.27,0.042,0.016,-0.026,0.42041509433962265
TAG(52:5_FA22:5),0.13,-0.017,0.13,0.27,0.11,0.059,-0.051,0.42041509433962265
TAG(54:8_FA18:2),0.13,-0.0048,0.045,0.27,0.046,0.02,-0.026,0.42041509433962265
TAG(55:2_FA18:2),0.13,-0.0011,0.0073,0.27,0.0056,0.0038,-0.0018,0.42041509433962265
TAG(60:10_FA22:5),0.13,-0.017,0.0023,0.27,0.015,0.024,0.009,0.42041509433962265
LCER(26:1),0.14,-4.2e-4,0.0028,0.26,0.0072,0.0063,-9e-4,0.43314079422382673
LPE(22:5),0.14,-0.0066,0.042,0.26,0.073,0.058,-0.015,0.43314079422382673
PE(18:2_18:3),0.14,-0.01,0.12,0.26,0.077,0.049,-0.028,0.43314079422382673
PE(P-18:0_22:6),0.14,-0.33,2.6,0.26,4.6,3.1,-1.5,0.43314079422382673
PG(18:1_18:1),0.14,-0.0029,0.024,0.26,0.061,0.055,-0.006,0.43314079422382673
TAG(44:2_FA16:0),0.14,-0.0081,0.1,0.26,0.053,0.022,-0.031,0.43314079422382673
TAG(46:1_FA16:0),0.14,-0.072,1.2,0.26,0.86,0.42,-0.44,0.43314079422382673
TAG(54:2_FA20:0),0.14,-0.0088,0.16,0.26,0.14,0.078,-0.062,0.43314079422382673
TAG(54:4_FA18:0),0.14,-0.061,0.42,0.26,0.59,0.34,-0.25,0.43314079422382673
TAG(56:4_FA20:4),0.14,-0.078,0.0095,0.26,0.1,0.13,0.03,0.43314079422382673
TAG(56:5_FA18:0),0.14,-0.083,0.019,0.26,0.13,0.17,0.04,0.43314079422382673
TAG(56:7_FA20:4),0.14,-0.81,0.19,0.26,1.3,1.7,0.4,0.43314079422382673
CE(16:0),0.17,-3.1,13,0.25,30,23,-7,0.4714886731391586
CER(20:0),0.16,-0.19,0.02,0.25,0.23,0.3,0.07,0.46324324324324323
DAG(18:1_22:5),0.16,-1.3,0.099,0.25,1.1,1.6,0.5,0.46324324324324323
LPE(16:0),0.17,-0.018,0.13,0.25,0.24,0.19,-0.05,0.4714886731391586
LPG(18:0),0.16,-1.3e-4,7.3e-4,0.25,0.0017,0.0013,-4e-4,0.46324324324324323
LPI(18:1),0.16,-0.0016,0.0084,0.25,0.016,0.013,-0.003,0.46324324324324323
PE(18:0_18:1),0.16,-0.29,1.5,0.25,2.5,1.8,-0.7,0.46324324324324323
PE(18:0_20:2),0.17,-0.18,1,0.25,1.9,1.4,-0.5,0.4714886731391586
PE(18:1_18:3),0.17,-0.15,0.95,0.25,1.3,0.74,-0.56,0.4714886731391586
PE(P-16:0_20:4),0.16,-0.92,8.5,0.25,13,9.9,-3.1,0.46324324324324323
PI(16:0_22:4),0.16,-0.014,0.12,0.25,0.14,0.085,-0.055,0.46324324324324323
PS(20:0_22:5),0.16,-0.21,1.7,0.25,3.2,2.4,-0.8,0.46324324324324323
TAG(40:0_FA16:0),0.16,-0.013,0.064,0.25,0.038,0.019,-0.019,0.46324324324324323
TAG(42:1_FA16:1),0.17,-0.0046,0.024,0.25,0.0077,0.0066,-0.0011,0.4714886731391586
TAG(42:1_FA18:1),0.16,-0.011,0.04,0.25,0.032,0.014,-0.018,0.46324324324324323
TAG(44:0_FA18:0),0.17,-0.0027,0.013,0.25,0.013,0.0063,-0.0067,0.4714886731391586
TAG(44:2_FA18:1),0.17,-0.0075,0.036,0.25,0.027,0.015,-0.012,0.4714886731391586
TAG(46:2_FA18:1),0.16,-0.023,0.21,0.25,0.19,0.082,-0.11,0.46324324324324323
TAG(46:3_FA16:0),0.16,-0.0058,0.045,0.25,0.033,0.019,-0.014,0.46324324324324323
TAG(47:2_FA18:2),0.16,-0.0066,0.072,0.25,0.04,0.025,-0.015,0.46324324324324323
TAG(48:3_FA18:1),0.17,-0.038,0.29,0.25,0.3,0.16,-0.14,0.4714886731391586
TAG(48:4_FA18:1),0.16,-0.0064,0.035,0.25,0.033,0.016,-0.017,0.46324324324324323
TAG(52:7_FA16:0),0.17,-0.0028,0.02,0.25,0.015,0.0079,-0.0071,0.4714886731391586
TAG(52:7_FA20:5),0.17,-0.016,0.11,0.25,0.13,0.079,-0.051,0.4714886731391586
TAG(54:5_FA18:0),0.16,-0.013,0.075,0.25,0.086,0.042,-0.044,0.46324324324324323
TAG(54:8_FA18:3),0.16,-0.032,0.19,0.25,0.19,0.1,-0.09,0.46324324324324323
TAG(55:5_FA20:4),0.16,-0.1,0.015,0.25,0.12,0.17,0.05,0.46324324324324323
TAG(56:10_FA18:2),0.17,-2.3e-4,0.002,0.25,0.0024,0.0016,-8e-4,0.4714886731391586
TAG(56:4_FA18:0),0.16,-0.012,0.084,0.25,0.077,0.053,-0.024,0.46324324324324323
TAG(56:5_FA18:2),0.17,-0.018,0.13,0.25,0.16,0.11,-0.05,0.4714886731391586
TAG(56:5_FA20:1),0.17,-0.015,0.092,0.25,0.14,0.098,-0.042,0.4714886731391586
TAG(57:3_FA18:2),0.16,-0.0012,0.0097,0.25,0.0092,0.0058,-0.0034,0.46324324324324323
HCER(26:1),0.18,-0.0026,0.0099,0.24,0.022,0.016,-0.006,0.4790683229813665
PC(18:0_16:1),0.18,-0.02,0.095,0.24,0.16,0.12,-0.04,0.4790683229813665
PE(O-18:0_20:4),0.18,-0.77,0.11,0.24,0.8,1.2,0.4,0.4790683229813665
PG(20:0_20:1),0.18,-0.00093000000000000005,0.0043,0.24,0.0094,0.0082,-0.0012,0.4790683229813665
PG(20:0_20:4),0.18,-0.0085,0.058,0.24,0.18,0.16,-0.02,0.4790683229813665
PI(16:0_22:6),0.18,-0.025,0.11,0.24,0.14,0.13,-0.01,0.4790683229813665
SM(18:0),0.18,-0.91,0.3,0.24,3.7,4.1,0.4,0.4790683229813665
TAG(44:1_FA14:0),0.18,-0.024,0.24,0.24,0.16,0.087,-0.073,0.4790683229813665
TAG(44:1_FA16:1),0.18,-0.011,0.081,0.24,0.049,0.025,-0.024,0.4790683229813665
TAG(46:0_FA14:0),0.18,-0.044,0.41,0.24,0.24,0.14,-0.1,0.4790683229813665
TAG(48:0_FA14:0),0.18,-0.013,0.14,0.24,0.071,0.045,-0.026,0.4790683229813665
TAG(52:1_FA20:0),0.18,-0.012,0.064,0.24,0.056,0.042,-0.014,0.4790683229813665
TAG(54:7_FA18:3),0.18,-0.19,0.95,0.24,1,0.5,-0.5,0.4790683229813665
CE(24:1),0.21,-2.5e-7,1.3e-6,0.23,3.5e-6,3.2e-6,-3e-7,0.5246938775510204
CER(22:0),0.21,-0.24,1.2,0.23,2.9,2.4,-0.5,0.5246938775510204
DAG(14:0_18:3),0.19,-0.055,0.27,0.23,0.31,0.16,-0.15,0.48461309523809526
FFA(20:4),0.21,-1.4,0.16,0.23,2.1,2.6,0.5,0.5246938775510204
LPE(18:0),0.19,-0.044,0.15,0.23,0.35,0.3,-0.05,0.48461309523809526
PE(18:0_20:4),0.19,-14,2,0.23,16,26,10,0.48461309523809526
TAG(42:1_FA16:0),0.19,-0.011,0.11,0.23,0.03,0.019,-0.011,0.48461309523809526
TAG(44:0_FA14:0),0.21,-0.048,0.38,0.23,0.16,0.13,-0.03,0.5246938775510204
TAG(46:0_FA16:0),0.19,-0.082,0.91,0.23,0.49,0.3,-0.19,0.48461309523809526
TAG(46:3_FA14:0),0.19,-0.0058,0.059,0.23,0.037,0.016,-0.021,0.48461309523809526
TAG(46:3_FA18:1),0.21,-0.0048,0.031,0.23,0.031,0.017,-0.014,0.5246938775510204
TAG(48:4_FA14:0),0.21,-0.0073,0.053,0.23,0.045,0.018,-0.027,0.5246938775510204
TAG(48:4_FA20:4),0.19,-0.008,0.049,0.23,0.035,0.02,-0.015,0.48461309523809526
TAG(49:2_FA18:2),0.19,-0.043,0.36,0.23,0.24,0.16,-0.08,0.48461309523809526
TAG(49:3_FA18:3),0.21,-0.018,0.14,0.23,0.095,0.047,-0.048,0.5246938775510204
TAG(50:4_FA18:2),0.19,-0.22,0.96,0.23,1.1,0.61,-0.49,0.48461309523809526
TAG(52:6_FA14:0),0.19,-0.0049,0.038,0.23,0.034,0.017,-0.017,0.48461309523809526
TAG(54:1_FA16:0),0.19,-0.027,0.24,0.23,0.23,0.13,-0.1,0.48461309523809526
TAG(54:6_FA18:1),0.19,-0.14,0.4,0.23,0.61,0.43,-0.18,0.48461309523809526
TAG(54:6_FA18:2),0.19,-0.33,1.7,0.23,1.8,0.81,-0.99,0.48461309523809526
TAG(56:6_FA20:2),0.19,-0.018,0.059,0.23,0.082,0.069,-0.013,0.48461309523809526
FFA(14:1),0.22,-0.73,0.13,0.22,1.1,1.4,0.3,0.5386857142857142
LPC(20:1),0.22,-0.014,0.06,0.22,0.17,0.14,-0.03,0.5386857142857142
TAG(47:1_FA17:0),0.22,-0.0023,0.02,0.22,0.01,0.007,-0.003,0.5386857142857142
TAG(50:5_FA18:1),0.22,-0.0037,0.022,0.22,0.025,0.014,-0.011,0.5386857142857142
TAG(52:6_FA16:0),0.22,-0.027,0.14,0.22,0.14,0.07,-0.07,0.5386857142857142
TAG(52:6_FA18:2),0.22,-0.069,0.21,0.22,0.26,0.13,-0.13,0.5386857142857142
TAG(56:1_FA18:1),0.22,-0.0059,0.042,0.22,0.044,0.032,-0.012,0.5386857142857142
DAG(16:0_18:3),0.24,-0.48,1.2,0.21,1.6,1.1,-0.5,0.5619672131147541
DAG(16:0_20:5),0.24,-0.21,0.59,0.21,0.73,0.56,-0.17,0.5619672131147541
DAG(16:1_20:4),0.24,-0.55,0.1,0.21,0.37,0.58,0.21,0.5619672131147541
DCER(22:0),0.24,-0.19,0.85,0.21,1.6,1.3,-0.3,0.5619672131147541
FFA(18:2),0.24,-9.5,2.8,0.21,41,43,2,0.5619672131147541
FFA(20:2),0.24,-0.37,0.13,0.21,0.78,0.89,0.11,0.5619672131147541
PC(16:0_18:1),0.24,-3.1,8.5,0.21,21,18,-3,0.5619672131147541
PI(16:0_22:5),0.24,-0.046,0.26,0.21,0.37,0.23,-0.14,0.5619672131147541
PS(20:0_20:3),0.24,-4.8,11,0.21,17,13,-4,0.5619672131147541
TAG(48:1_FA14:0),0.24,-0.3,1.9,0.21,1.5,0.92,-0.58,0.5619672131147541
TAG(50:5_FA18:3),0.24,-0.1,0.41,0.21,0.47,0.22,-0.25,0.5619672131147541
TAG(52:3_FA14:0),0.24,-0.0048,0.03,0.21,0.029,0.018,-0.011,0.5619672131147541
TAG(52:8_FA16:1),0.24,-2.3e-4,0.0017,0.21,9.7e-4,7.2e-4,-2.5e-4,0.5619672131147541
TAG(53:4_FA17:0),0.24,-0.018,0.071,0.21,0.088,0.063,-0.025,0.5619672131147541
TAG(54:6_FA20:4),0.24,-1.4,0.34,0.21,2.2,2.4,0.2,0.5619672131147541
TAG(54:7_FA18:1),0.24,-0.028,0.07,0.21,0.091,0.061,-0.03,0.5619672131147541
CE(16:1),0.27,-2.7,3.7,0.2,6.9,5.9,-1,0.5857974683544305
